The Dark Knight Rises,164000,8.5,Action^Thriller,250000000,448130642,English,USA
Spectre,85000,6.8,Action^Adventure^Thriller,245000000,200074175,English,UK
Tangled,29000,7.8,Adventure^Animation^Comedy^Family^Fantasy^Musical^Romance,260000000,200807262,English,USA
Avengers: Age of Ultron,118000,7.5,Action^Adventure^Sci-Fi,250000000,458991599,English,USA
Avatar,33000,7.9,Action^Adventure^Fantasy^Sci-Fi,237000000,760505847,English,USA
John Carter,24000,6.6,Action^Adventure^Sci-Fi,263700000,73058679,English,USA
Batman v Superman: Dawn of Justice,197000,6.9,Action^Adventure^Sci-Fi,250000000,330249062,English,USA
Harry Potter and the Half-Blood Prince,10000,7.5,Adventure^Family^Fantasy^Mystery,250000000,301956980,English,UK
The Lone Ranger,48000,6.5,Action^Adventure^Western,215000000,89289910,English,USA
The Avengers,123000,8.1,Action^Adventure^Sci-Fi,220000000,623279547,English,USA
Man of Steel,118000,7.2,Action^Adventure^Fantasy^Sci-Fi,225000000,291021565,English,USA
The Hobbit: The Battle of the Five Armies,65000,7.5,Adventure^Fantasy,250000000,255108370,English,New Zealand
Pirates of the Caribbean: On Stranger Tides,58000,6.7,Action^Adventure^Fantasy,250000000,241063875,English,USA
Men in Black 3,40000,6.8,Action^Adventure^Comedy^Family^Fantasy^Sci-Fi,225000000,179020854,English,USA
Robin Hood,17000,6.7,Action^Adventure^Drama^History,200000000,105219735,English,USA
The Amazing Spider-Man,56000,7,Action^Adventure^Fantasy,230000000,262030663,English,USA
The Hobbit: The Desolation of Smaug,83000,7.9,Adventure^Fantasy,225000000,258355354,English,USA
Captain America: Civil War,72000,8.2,Action^Adventure^Sci-Fi,250000000,407197282,English,USA
Titanic,26000,7.7,Drama^Romance,200000000,658672302,English,USA
Battleship,44000,5.9,Action^Adventure^Sci-Fi^Thriller,209000000,65173160,English,USA
Skyfall,80000,7.8,Action^Adventure^Thriller,200000000,304360277,English,UK
Iron Man 3,95000,7.2,Action^Adventure^Sci-Fi,200000000,408992272,English,USA
Alice in Wonderland,24000,6.5,Adventure^Family^Fantasy,200000000,334185206,English,USA
Jurassic World,150000,7,Action^Adventure^Sci-Fi^Thriller,150000000,652177271,English,USA
Monsters University,44000,7.3,Adventure^Animation^Comedy^Family^Fantasy,200000000,268488329,English,USA
Oz the Great and Powerful,60000,6.4,Adventure^Family^Fantasy,215000000,234903076,English,USA
Transformers: Age of Extinction,56000,5.7,Action^Adventure^Sci-Fi,210000000,245428137,English,USA
TRON: Legacy,30000,6.8,Action^Adventure^Sci-Fi,170000000,172051787,English,USA
Cars 2,10000,6.3,Adventure^Animation^Comedy^Family^Sport,200000000,191450875,English,USA
Green Lantern,24000,5.6,Action^Adventure^Sci-Fi,200000000,116593191,English,USA
Toy Story 3,30000,8.3,Adventure^Animation^Comedy^Family^Fantasy,200000000,414984497,English,USA
Furious 7,94000,7.2,Action^Crime^Thriller,190000000,350034110,English,USA
X-Men: Days of Future Past,82000,8,Action^Adventure^Fantasy^Sci-Fi^Thriller,200000000,233914986,English,USA
The Amazing Spider-Man 2,41000,6.7,Action^Adventure^Fantasy^Sci-Fi,200000000,202853933,English,USA
World War Z,129000,7,Action^Adventure^Horror^Sci-Fi^Thriller,190000000,202351611,English,USA
Star Trek Into Darkness,92000,7.8,Action^Adventure^Sci-Fi,190000000,228756232,English,USA
Jack the Giant Slayer,22000,6.3,Adventure^Fantasy,195000000,65171860,English,USA
The Great Gatsby,115000,7.3,Drama^Romance,105000000,144812796,English,Australia
Pacific Rim,83000,7,Action^Adventure^Sci-Fi,190000000,101785482,English,USA
Prince of Persia: The Sands of Time,23000,6.6,Action^Adventure^Fantasy^Romance,200000000,90755643,English,USA
Brave,39000,7.2,Adventure^Animation^Comedy^Family^Fantasy,185000000,237282182,English,USA
Transformers: Dark of the Moon,46000,6.3,Action^Adventure^Sci-Fi,195000000,352358779,English,USA
Jupiter Ascending,44000,5.4,Action^Adventure^Sci-Fi,176000000,47375327,English,USA
M2012,13000,5.8,Action^Adventure^Sci-Fi,200000000,166112167,English,USA
The Dark Knight,37000,9,Action^Crime^Drama^Thriller,185000000,533316061,English,USA
WALL·E,16000,8.4,Adventure^Animation^Family^Sci-Fi,180000000,223806889,English,USA
X-Men: Apocalypse,54000,7.3,Action^Adventure^Sci-Fi,178000000,154985087,English,USA
Up,27000,8.3,Adventure^Animation^Comedy^Family,175000000,292979556,English,USA
Hugo,42000,7.5,Adventure^Drama^Family^Mystery,170000000,73820094,English,USA
Edge of Tomorrow,77000,7.9,Action^Adventure^Sci-Fi,178000000,100189501,English,USA
Inside Out,118000,8.3,Adventure^Animation^Comedy^Drama^Family^Fantasy,175000000,356454367,English,USA
Suicide Squad,80000,6.9,Action^Adventure^Comedy^Sci-Fi,175000000,161087183,English,USA
Iron Man,10000,7.9,Action^Adventure^Sci-Fi,140000000,318298180,English,USA
Iron Man 2,18000,7,Action^Adventure^Sci-Fi,200000000,312057433,English,USA
The Jungle Book,65000,7.8,Adventure^Drama^Family^Fantasy,175000000,362645141,English,UK
Snow White and the Huntsman,53000,6.1,Action^Adventure^Drama^Fantasy,170000000,155111815,English,USA
